RPs.class1...class2	RPs.class1...class2.1	RPrank.class1...class2	RPrank.class1...class2.1	pfp.class1...class2	pfp.class1...class2.1	pval.class1...class2	pval.class1...class2.1	AveFC
hsa.miR.34a.4395168	36.9159919865016	61.5506233672022	34	83	0.947662366217544	1.11997728134392	0.266285292986748	0.768248878938388	-0.26537363122807
hsa.miR.92a.4395169	70.2375563601087	36.1404209078546	108	29	0.988512088660818	1.04547376034016	0.882308310540234	0.250568091321194	0.889609802105264
hsa.miR.93.4373302	61.2965369611069	39.6311528950135	97	34	0.953284120454412	1.15050372665693	0.764202972595686	0.323282038895337	0.655649168771931
hsa.miR.95.4373011	86.6178299778828	22.8141565572012	117	13	1.01565557183331	0.463271515662733	0.982080181028906	0.0497729727571531	1.51506430210526
hsa.miR.99a.4373008	53.6287604841303	54.5424069087342	78	64	0.969762832864305	1.21616757896779	0.625136371598478	0.643262190528419	0.067893602105263
hsa.miR.99b.4373007	37.5431376334204	67.3674361795056	36	94	0.9384140695571	1.09399431652567	0.279197574413683	0.849879882259614	-0.335970497894736
hsa.miR.100.4373160	41.1959384949464	59.3785745243349	46	76	0.939489234791612	1.16608949180712	0.357161196697637	0.732419846093731	-0.21304413122807
hsa.miR.101.4395364	55.868822913912	48.3345028779069	84	55	0.963537715579973	1.13112154653309	0.668902215774526	0.514146157515043	0.403893962919811
hsa.miR.103.4373158	50.1335088328923	57.7723374576166	70	73	0.955583857214164	1.16719115346879	0.552817107479268	0.704173175233235	0.0393743354385956
hsa.miR.106a.4395280	72.3371349449597	38.8156554860747	110	31	0.993109633254118	1.19393930554071	0.902826939321925	0.305885276626132	0.717189835438597
RNU44.4373384	62.2279471966461	39.3871248316707	99	32	0.951917923211897	1.20264527679008	0.778841937173371	0.31805494923374	0.706346502105264
hsa.miR.106b.4373155	53.4692575420864	49.4429417801746	76	57	0.990186637515657	1.14221159273777	0.62193540868752	0.538066618066551	0.236924635438597
hsa.miR.125a.5p.4395309	37.1288416705334	68.0382007010791	35	97	0.935669642411137	1.07018894256274	0.270648243672643	0.857920061393268	-0.391130631228069
hsa.miR.125b.4373148	43.5189237261866	63.1361581554452	53	87	0.931986851200943	1.10235526127562	0.408225645567355	0.792602543231231	-0.13781103122807
hsa.miR.126.4395339	21.5107325508332	71.5225098405362	5	110	0.94250808633345	0.984698124604956	0.0389466151377459	0.895180113277233	-1.10629339789474
hsa.miR.127.3p.4373147	70.6187612154893	21.4177631503247	109	11	0.983798303419578	0.420606395801794	0.886231529526727	0.0382369450728903	1.65796630210526
hsa.miR.128.4395327	57.4334970855617	50.8322639707996	87	59	0.970827703948121	1.16407309662517	0.698033142508153	0.567605890089961	0.254177884796816
hsa.miR.130a.4373145	39.6898089986034	66.1803482941243	42	91	0.934987175034544	1.11021338788605	0.324541002904552	0.834953870228351	-0.28605290863586
hsa.miR.130b.4373144	58.3212622499881	44.2206673112049	90	48	0.959917080958772	1.06816704156969	0.713987911456938	0.423735685911943	0.426522835438596
hsa.miR.132.4373143	72.5481231622978	30.9971155493347	111	22	0.986251944136728	0.855010096877489	0.904743519001461	0.155456381250453	1.08109146877193
hsa.miR.133a.4395357	26.6176036941829	28.2612800662868	9	16	1.22261041614934	0.855345261752124	0.090937964837554	0.113103505686231	0.0156927687719302
hsa.miR.134.4373299	94.5860290976694	12.0052026909073	120	3	1.00376197015933	0.0888428320079531	0.995466416686941	0.00220271484317239	2.73494884290486
hsa.miR.135b.4395372	90.1424166598191	10.3634623424458	118	2	1.01489401976457	0.0571541642160587	0.98973135811751	0.000944696929191053	3.19000553638624
hsa.miR.138.4395395	30.8719206694688	28.7546756138386	16	19	1.15992449296295	0.765813092343432	0.153378445350472	0.120251642599382	0.413280548641702
hsa.miR.139.5p.4395400	37.6606040820164	58.1010887575846	37	74	0.921022016462453	1.16106210999598	0.281634831480254	0.710071042476881	-0.169963464561402
hsa.miR.140.3p.4395345	23.7176839486084	87.2925639970237	6	119	1.17477999363176	1.00033932862384	0.0582535534032279	0.983804794266422	-1.04643829789474
hsa.miR.140.5p.4373374	20.9145854915436	92.2260079976253	3	121	1.39303335747277	0.992874193573837	0.0345380171274241	0.992874193573837	-1.13894009789474
hsa.miR.142.3p.4373136	53.3973360135554	52.2313391384686	75	60	1.00105496570517	1.20343877292273	0.620488615106509	0.596746498969947	0.115200435438597
hsa.miR.142.5p.4395359	58.785225999407	35.2848877798901	95	27	0.919795779838877	1.04681272394842	0.722153711443746	0.233586310302539	0.781394586221705
hsa.miR.143.4395360	27.2901874207341	54.5170378097775	10	63	1.20633380527445	1.23451468637879	0.0996970087003674	0.642763844974078	-0.525173564561403
hsa.miR.145.4395389	44.2689617730106	41.094552626756	54	41	0.951874441796707	1.04753475517701	0.424803469892745	0.354949793076508	0.177742502105263
hsa.miR.146a.4373132	56.7436362549979	31.3136457717637	86	24	0.964263557759411	0.810531290578024	0.685344346837267	0.160766536974153	0.99484577853081
hsa.miR.146b.5p.4373178	32.1622309627703	58.760620605813	18	75	1.17901838828226	1.16438086950786	0.175391165199014	0.721723679447018	-0.39673643122807
hsa.miR.148a.4373130	49.3285001356973	41.825740618728	68	43	0.953071063677043	1.04380361935722	0.535610184545776	0.370938476300501	0.344109068771931
hsa.miR.149.4395366	43.0230100748501	31.2579792120465	51	23	0.942561411907683	0.840828184600261	0.397277950473486	0.159826845006661	0.499046360426002
hsa.miR.150.4373127	48.4268429585011	35.4839003363998	67	28	0.932150005868317	1.02634472609142	0.516149176803117	0.237501258930246	0.582082435438597
hsa.miR.152.4395170	36.857609624375	64.3442770129302	33	88	0.972004677371022	1.11390084884224	0.265092184737551	0.810109708248899	-0.33951953122807
hsa.miR.181a.4373117	34.5681812444294	75.1705576556829	22	116	1.20821639215874	0.966366415621499	0.219675707665226	0.926433919108214	-0.583370231228069
RNU48.4373383	43.4822845107493	59.7178345106474	52	77	0.948026431331117	1.16002716785328	0.407416317596844	0.738199106815723	-0.162982697894737
hsa.miR.185.4395382	40.9509410503499	67.7516603357923	45	96	0.946006925553427	1.07705139263432	0.351820757437225	0.854520113164419	-0.230903797894736
hsa.miR.186.4395396	57.7291088314302	57.5860294674931	88	72	0.967165757372592	1.17774134365749	0.703393278089158	0.700804766473877	0.129796702105264
hsa.miR.191.4395410	68.3171695401597	49.1051218271018	106	56	0.983045744180738	1.14692064877471	0.861180569282299	0.530806250672594	0.38859766877193
hsa.miR.192.4373108	46.7879392854463	15.3759479001326	61	5	0.952870707632679	0.198505578118786	0.480372836079284	0.00820270983961924	2.2527731354386
hsa.miR.193a.5p.4395392	34.8391250420824	69.6470086466764	23	103	1.18316426610117	1.02915154590778	0.224898992729974	0.876054621723155	-0.437929764561403
hsa.miR.193b.4395478	28.7808038165245	67.4741760646398	13	95	1.12284638537955	1.08413237673169	0.120636388511852	0.851178312310004	-0.655673364561403
hsa.miR.194.4373106	39.2549588278796	15.8799312932915	40	6	0.953574726419197	0.194335779001427	0.315231314518743	0.00963648490916165	2.08315346877193
hsa.miR.195.4373105	29.1465841619012	78.9169345223434	14	117	1.08975561464934	0.983531952517441	0.126087426488354	0.951018499541658	-0.777260397894735
hsa.miR.196b.4395326	37.845617234098	30.8732704681634	39	21	0.885735556895789	0.883880688263613	0.285485014206081	0.153400780607735	0.74712636670527
hsa.miR.197.4373102	45.8409672027188	50.4046068768689	58	58	0.958679742481785	1.16529647183573	0.459532438544988	0.558571862532828	0.0956193354385968
hsa.miR.199a.3p.4395415	61.0542938866474	40.8347131760383	96	39	0.95830652201404	1.08369889789593	0.760309306721883	0.349291380313565	0.592049235438597
hsa.miR.200a.4378069	52.7988697759324	20.2799897286481	73	10	1.00839184975806	0.365542273878026	0.608368636630897	0.0302101052791757	1.50274430210526
hsa.miR.200b.4395362	91.7675290155164	14.2345118100525	119	4	1.0089344542611	0.167171788371197	0.992257851711325	0.00552634011144454	2.50608283622595
hsa.miR.200c.4395411	97.2285057132699	8.76837528719496	121	1	0.997419039387118	0.0411426767284208	0.997419039387118	0.000340022121722486	4.23872162921062
hsa.miR.204.4373094	11.6393438820439	70.5328038998662	2	107	0.11196606858841	1.00119542907081	0.00185067881964314	0.885354635624598	-1.83589803122807
hsa.miR.210.4373089	44.7255719063089	39.5074283496487	57	33	0.923206349303533	1.17564219550969	0.434898858762821	0.320629689684462	0.268055302105264
hsa.miR.214.4395417	54.9809722228099	40.3284130593875	80	36	0.985894458668031	1.13708791238937	0.651831047053243	0.338307147487745	0.592415402105263
hsa.miR.218.4373081	33.3182049462543	61.5005304238664	19	82	1.24932927365745	1.13246309698033	0.196175671070178	0.767454330185019	-0.313370655773772
hsa.miR.221.4373077	37.8420073675619	53.5958822663792	38	61	0.908804762412074	1.23871751815007	0.285409760096354	0.624477426505405	-0.0692033312280695
hsa.miR.222.4395387	35.4493696592197	60.9306968708811	28	80	1.02340243767207	1.14694247914088	0.236820398800149	0.758309077117939	-0.359114564561403
hsa.miR.223.4395406	34.5237596415276	44.0533551340846	21	47	1.260840568503	1.08137089394066	0.21882356974019	0.420036628224884	0.138275235438597
hsa.miR.224.4395210	73.6176445667352	23.1839290539239	112	14	0.987511973966854	0.459335349270241	0.914060670118079	0.0531462387585402	1.39897626877193
hsa.miR.296.5p.4373066	36.8281690924029	55.3455418239781	32	65	1.00010709043955	1.22654222511762	0.264491131355915	0.658886319278058	-0.193292597894736
hsa.miR.301a.4373064	66.0296197448429	24.8634528526249	103	15	0.97856670132758	0.566054900986545	0.832994795344965	0.0701720951636212	1.55340547865687
hsa.miR.320.4395388	58.3846010980728	40.9014415937415	92	40	0.940524776396571	1.06099818777054	0.715109747342847	0.350743202568772	0.393933002105264
hsa.miR.323.3p.4395338	57.959114221853	17.2967717930428	89	8	0.961924459020784	0.220775398867766	0.707531213659915	0.0145967205862986	1.34928400983266
hsa.miR.324.3p.4395272	44.6501754569801	64.3759010153882	56	89	0.936090623370591	1.10199140324386	0.433232024039282	0.810555660237219	-0.174225364561403
hsa.miR.324.5p.4373052	53.120749630527	54.4855204065883	74	62	1.00545287042386	1.25321714216472	0.614905061250956	0.642144320778618	0.0601905354385961
hsa.miR.328.4373049	27.4125003955639	82.4554878253522	11	118	1.11470200844018	0.992769602518229	0.101336546221834	0.968155480141744	-0.838278031228069
hsa.miR.331.3p.4373046	36.6865532858239	71.8468364642764	31	111	1.02110562560939	0.97919716475403	0.261605573503231	0.898271779237168	-0.412132664561403
hsa.miR.335.4373045	67.8664336522007	28.4553495372336	105	18	0.986309216128349	0.779027765866521	0.855888162756005	0.115888427980144	1.0980493144635
hsa.miR.339.3p.4395295	51.1950298390811	61.1540978442817	72	81	0.96669704368085	1.13817347265526	0.575224687148935	0.761917779215507	0.0357133021052634
hsa.miR.339.5p.4395368	41.7139485793845	45.4861361715899	48	53	0.928897518476201	1.03124665973164	0.368488271792212	0.451703082361793	0.00819328176540157
has.miR.155.4395459	58.5745278104554	40.5736249931529	93	38	0.934770932095643	1.0941580777707	0.718460303180949	0.343619892192452	0.503639602105264
hsa.let.7b.4395446	53.6206996952452	56.5600309947179	77	69	0.982103350076228	1.19584050155421	0.624974859139418	0.681925575266451	0.120173802105263
hsa.miR.342.3p.4395371	47.1585003227777	61.9962760390221	66	85	0.895582233510376	1.10359159199459	0.488499400096569	0.775250291897028	-0.0869565312280698
hsa.miR.345.4395297	39.4847738641054	68.725462444004	41	100	0.944816731426246	1.0476961636762	0.320144512301455	0.865864598079504	-0.37189033122807
hsa.miR.361.5p.4373035	54.0431898119479	44.9099409774623	79	52	0.970149106691587	1.02145944950104	0.633403135773846	0.438974308876479	0.336599502105263
hsa.miR.362.5p.4378092	49.3515939061691	42.901185378551	69	45	0.940128163461519	1.06101181657143	0.53610614280037	0.394591171452184	0.348744533765758
hsa.miR.365.4373194	30.5505149724016	62.5808039552251	15	86	1.19469590385703	1.10341990548356	0.148102797998805	0.784248858442861	-0.530506497894736
hsa.miR.370.4395386	85.6135441452575	17.529637034432	116	9	1.02146720058491	0.209097025210238	0.979257812130986	0.0155526712966292	2.0395945354386
